epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.079,1.28466,1.52076,1.29313,0.94143,0.91872,0.96328,0.63462,1.21242,0.76893,1.28178,0.000471963,0.000471963,0.000471963
2,1026.11,1.22632,0.86852,1.25599,0.8329,0.91869,0.9379,0.60062,1.24411,0.81964,1.30587,0.000938908,0.000938908,0.000938908
3,1600.04,1.22685,0.78282,1.25783,0.92934,0.94038,0.95368,0.61247,1.23058,0.66718,1.33657,0.00139642,0.00139642,0.00139642
4,2143.61,1.23621,0.77977,1.25559,0.94482,0.94639,0.97157,0.63145,1.25153,0.63376,1.35543,0.00138656,0.00138656,0.00138656
5,2610.68,1.19407,0.71392,1.23871,0.94376,0.92725,0.97043,0.65001,1.19461,0.587,1.33625,0.00137241,0.00137241,0.00137241
6,3188.1,1.20844,0.71553,1.25412,0.88782,0.88348,0.94422,0.59254,1.32789,0.82643,1.41165,0.00135826,0.00135826,0.00135826
7,3744.7,1.19171,0.68298,1.23802,0.94536,0.96205,0.97257,0.65603,1.1774,0.53207,1.32261,0.00134412,0.00134412,0.00134412
8,4291.39,1.16541,0.6722,1.23934,0.96647,0.97894,0.97408,0.66258,1.17354,0.50295,1.31714,0.00132997,0.00132997,0.00132997
9,4756.65,1.15545,0.63764,1.23004,0.9699,0.97768,0.97409,0.65518,1.16811,0.49852,1.3091,0.00131582,0.00131582,0.00131582
10,5219.52,1.17011,0.64548,1.23069,0.9607,0.97682,0.976,0.66287,1.1538,0.50303,1.30015,0.00130168,0.00130168,0.00130168
11,5710.09,1.1579,0.62932,1.22113,0.97117,0.98131,0.97513,0.65559,1.16042,0.48442,1.30709,0.00128753,0.00128753,0.00128753
12,6254.02,1.15881,0.62316,1.23022,0.96795,0.97625,0.97475,0.65888,1.15542,0.4813,1.31014,0.00127338,0.00127338,0.00127338
13,6719.74,1.14022,0.60752,1.21788,0.96116,0.97633,0.97111,0.65651,1.18906,0.50982,1.30981,0.00125923,0.00125923,0.00125923
14,7223.48,1.14588,0.60861,1.21855,0.97214,0.97631,0.97404,0.67598,1.15384,0.47296,1.30474,0.00124509,0.00124509,0.00124509
15,7710.66,1.14068,0.61482,1.21146,0.97197,0.97892,0.97252,0.66061,1.17769,0.46718,1.30599,0.00123094,0.00123094,0.00123094
16,8255.09,1.15344,0.60204,1.22102,0.95656,0.98163,0.97674,0.6734,1.15737,0.45728,1.30071,0.00121679,0.00121679,0.00121679
17,8726.41,1.13397,0.59419,1.2234,0.96056,0.97983,0.97987,0.66851,1.15846,0.46909,1.31279,0.00120265,0.00120265,0.00120265
18,9211.83,1.12913,0.58658,1.21074,0.96626,0.98612,0.97668,0.67693,1.14945,0.44456,1.29731,0.0011885,0.0011885,0.0011885
19,9719.87,1.12984,0.57857,1.21061,0.96684,0.98007,0.97205,0.67053,1.15041,0.45953,1.29988,0.00117435,0.00117435,0.00117435
20,10263.1,1.10921,0.56924,1.20537,0.97082,0.98003,0.98044,0.68581,1.13007,0.43428,1.29051,0.00116021,0.00116021,0.00116021
