epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7391,1.33583,1.62855,1.22905,0.94651,0.96554,0.97422,0.62896,1.22785,0.81915,1.13206,0.000474854,0.000474854,0.000474854
2,152.028,1.24033,0.98632,1.1841,0.91945,0.96093,0.96473,0.63648,1.20936,0.65574,1.1542,0.000941771,0.000941771,0.000941771
3,225.905,1.23024,0.8591,1.19914,0.9574,0.97004,0.97404,0.63413,1.22307,0.62863,1.18238,0.00139926,0.00139926,0.00139926
4,298.251,1.20895,0.78882,1.20209,0.96101,0.96671,0.96646,0.64436,1.18882,0.55734,1.19338,0.00138656,0.00138656,0.00138656
5,366.959,1.18405,0.7414,1.19675,0.96854,0.98186,0.97756,0.6576,1.22235,0.49929,1.19892,0.00137241,0.00137241,0.00137241
6,436.172,1.18242,0.71741,1.20055,0.96489,0.97393,0.9733,0.63884,1.23016,0.52069,1.2135,0.00135826,0.00135826,0.00135826
7,508.002,1.16994,0.69053,1.19878,0.96082,0.97464,0.975,0.66541,1.14852,0.49631,1.19095,0.00134412,0.00134412,0.00134412
8,580.72,1.15263,0.67081,1.19442,0.96804,0.98377,0.97274,0.66026,1.1897,0.47981,1.20297,0.00132997,0.00132997,0.00132997
9,653.536,1.14449,0.65976,1.1946,0.96955,0.97815,0.97969,0.66815,1.17671,0.4832,1.22641,0.00131582,0.00131582,0.00131582
10,724.838,1.12922,0.63691,1.18794,0.96793,0.98546,0.9752,0.67396,1.15035,0.46738,1.21928,0.00130168,0.00130168,0.00130168
11,797.229,1.12658,0.63531,1.18928,0.95897,0.97873,0.97592,0.66944,1.15701,0.47647,1.2067,0.00128753,0.00128753,0.00128753
12,876.712,1.12107,0.62015,1.18319,0.96982,0.98597,0.97972,0.66209,1.2105,0.45282,1.22767,0.00127338,0.00127338,0.00127338
13,956.863,1.11613,0.61342,1.18539,0.96413,0.98049,0.97529,0.6708,1.1606,0.46858,1.21524,0.00125923,0.00125923,0.00125923
14,1037.85,1.11584,0.60593,1.18446,0.96573,0.97043,0.97665,0.6632,1.188,0.46776,1.20514,0.00124509,0.00124509,0.00124509
15,1117.34,1.10795,0.59481,1.17939,0.96909,0.98158,0.97907,0.68051,1.14325,0.44941,1.20416,0.00123094,0.00123094,0.00123094
16,1193.4,1.08922,0.5882,1.17867,0.96574,0.98294,0.97294,0.67738,1.1392,0.46045,1.23304,0.00121679,0.00121679,0.00121679
17,1267.16,1.10736,0.59037,1.18718,0.97493,0.9796,0.9787,0.68328,1.1301,0.44402,1.20125,0.00120265,0.00120265,0.00120265
18,1343.16,1.09078,0.5737,1.17423,0.97675,0.98461,0.97561,0.68295,1.12239,0.43742,1.20896,0.0011885,0.0011885,0.0011885
19,1423.02,1.08537,0.57796,1.17548,0.97094,0.98296,0.97724,0.68511,1.1395,0.44326,1.22349,0.00117435,0.00117435,0.00117435
20,1497.23,1.08174,0.57052,1.17342,0.97373,0.98277,0.97637,0.68782,1.13371,0.43993,1.20022,0.00116021,0.00116021,0.00116021
21,1574.36,1.08283,0.56164,1.17525,0.96682,0.98444,0.97505,0.67459,1.14427,0.43935,1.2309,0.00114606,0.00114606,0.00114606
22,1650.65,1.08351,0.56872,1.17291,0.96984,0.98468,0.97894,0.6875,1.12142,0.42368,1.22579,0.00113191,0.00113191,0.00113191
23,1726.94,1.07394,0.55834,1.17004,0.96733,0.9812,0.97579,0.68364,1.13496,0.44001,1.20521,0.00111776,0.00111776,0.00111776
24,1799.5,1.06709,0.55292,1.16871,0.97074,0.98638,0.97758,0.68526,1.10791,0.4226,1.21234,0.00110362,0.00110362,0.00110362
25,1872.6,1.06993,0.55121,1.16836,0.97065,0.98368,0.9743,0.68787,1.12726,0.43951,1.2069,0.00108947,0.00108947,0.00108947
26,1945.7,1.06058,0.54709,1.16696,0.97296,0.98747,0.97459,0.68493,1.12477,0.41386,1.20784,0.00107532,0.00107532,0.00107532
27,2021.87,1.06456,0.54571,1.16764,0.97154,0.98518,0.97479,0.6825,1.13286,0.42778,1.22729,0.00106118,0.00106118,0.00106118
28,2097.18,1.05556,0.54142,1.16182,0.97504,0.9791,0.97568,0.68448,1.12882,0.43251,1.22691,0.00104703,0.00104703,0.00104703
29,2169.61,1.05794,0.542,1.16586,0.97512,0.98633,0.97848,0.6887,1.13038,0.40339,1.2228,0.00103288,0.00103288,0.00103288
