epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6703,1.12311,3.2567,1.3275,0.81841,0.28454,0.29903,0.2329,0.91047,2.28083,1.12148,0.000207729,0.000207729,0.000207729
2,145.926,1.02911,2.05929,1.18163,0.85916,0.31765,0.30185,0.2345,0.89461,1.93169,1.06131,0.000411944,0.000411944,0.000411944
3,219.09,1.00103,1.82147,1.14859,0.90916,0.31545,0.33713,0.25611,0.94719,1.58133,1.10158,0.000612033,0.000612033,0.000612033
4,291.176,0.96184,1.63469,1.13409,0.9287,0.30569,0.34111,0.2613,0.86858,1.46913,1.05345,0.000606437,0.000606437,0.000606437
5,365.525,0.94416,1.51778,1.11971,0.92846,0.32934,0.35068,0.27823,0.82738,1.25206,1.01051,0.00060025,0.00060025,0.00060025
6,438.782,0.91912,1.31409,1.09225,0.8875,0.31312,0.34107,0.26394,0.89067,1.26424,1.04898,0.000594062,0.000594062,0.000594062
7,511.947,0.90072,1.2275,1.08088,0.92512,0.32644,0.36243,0.29129,0.8114,1.07063,0.98042,0.000587875,0.000587875,0.000587875
8,583.832,0.87818,1.20042,1.07406,0.90614,0.34029,0.35032,0.27281,0.86298,1.09458,1.00538,0.000581687,0.000581687,0.000581687
9,659.984,0.86384,1.11402,1.06171,0.92471,0.33954,0.37145,0.27992,0.99544,1.07337,1.04412,0.0005755,0.0005755,0.0005755
10,731.081,0.87507,1.11528,1.06064,0.92749,0.34028,0.38857,0.30305,0.9053,1.00214,1.01905,0.000569313,0.000569313,0.000569313
11,802.711,0.86407,1.05434,1.05683,0.94153,0.34528,0.3796,0.30052,0.8457,0.88742,0.99334,0.000563125,0.000563125,0.000563125
12,875.427,0.83952,0.97848,1.03503,0.89923,0.3123,0.36822,0.29218,0.84677,1.02306,0.98452,0.000556938,0.000556938,0.000556938
13,956.383,0.84256,1.01085,1.05428,0.9437,0.34829,0.4005,0.32316,0.77915,0.83939,0.97477,0.00055075,0.00055075,0.00055075
14,1030.53,0.84332,0.96913,1.04093,0.91503,0.33898,0.3774,0.3065,0.77561,0.86179,0.97303,0.000544563,0.000544563,0.000544563
