epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.864,1.45818,2.22192,1.5237,0.62208,0.74348,0.6798,0.38906,1.48056,1.69283,1.55856,0.000369563,0.000369563,0.000369563
2,254.93,1.4174,1.72953,1.46825,0.68403,0.7522,0.73971,0.44043,1.44483,1.47491,1.50504,0.000732572,0.000732572,0.000732572
3,378.97,1.40217,1.58708,1.45601,0.68607,0.75291,0.72623,0.41659,1.48006,1.44087,1.5722,0.00108825,0.00108825,0.00108825
4,502.812,1.37935,1.50533,1.44476,0.74484,0.7591,0.7681,0.45602,1.42249,1.17869,1.52828,0.001078,0.001078,0.001078
5,626.418,1.35334,1.4149,1.42624,0.76343,0.77787,0.81451,0.51367,1.36142,1.09774,1.46295,0.001067,0.001067,0.001067
6,750.139,1.32936,1.36284,1.40746,0.75709,0.78399,0.81103,0.5152,1.33207,1.02798,1.44191,0.00105601,0.00105601,0.00105601
7,873.867,1.29743,1.31495,1.38586,0.77695,0.78631,0.82373,0.52359,1.31598,1.03322,1.44942,0.00104501,0.00104501,0.00104501
8,997.648,1.26722,1.3029,1.37632,0.79073,0.79726,0.83015,0.54063,1.30824,0.98409,1.4349,0.00103401,0.00103401,0.00103401
9,1121.33,1.26238,1.24643,1.37461,0.82086,0.76552,0.83427,0.54319,1.32313,0.98866,1.44756,0.00102301,0.00102301,0.00102301
10,1245.61,1.25016,1.22028,1.36038,0.80347,0.77987,0.84088,0.54804,1.28134,0.96269,1.418,0.00101201,0.00101201,0.00101201
11,1369.23,1.2362,1.20767,1.35442,0.78655,0.80262,0.83903,0.54708,1.29753,0.95094,1.42238,0.00100101,0.00100101,0.00100101
12,1493.1,1.21982,1.17791,1.34615,0.83025,0.79119,0.85452,0.5694,1.26751,0.89744,1.41153,0.000990012,0.000990012,0.000990012
13,1617,1.19896,1.16258,1.3317,0.80701,0.77028,0.84144,0.5575,1.2445,0.96745,1.39249,0.000979013,0.000979013,0.000979013
14,1741.25,1.20677,1.16988,1.34295,0.81998,0.80966,0.86236,0.58282,1.24043,0.87717,1.38132,0.000968014,0.000968014,0.000968014
15,1865.18,1.19297,1.13868,1.3296,0.83659,0.79974,0.86438,0.58817,1.19991,0.86259,1.355,0.000957015,0.000957015,0.000957015
16,1989.34,1.1794,1.13336,1.32362,0.84025,0.7938,0.85853,0.58475,1.19878,0.88058,1.33786,0.000946016,0.000946016,0.000946016
17,2113.07,1.17665,1.11821,1.3213,0.84549,0.82447,0.8696,0.58797,1.22504,0.84561,1.37121,0.000935018,0.000935018,0.000935018
18,2236.91,1.16363,1.0938,1.31017,0.83606,0.81244,0.86376,0.58924,1.21301,0.87755,1.36991,0.000924019,0.000924019,0.000924019
19,2360.43,1.15585,1.09145,1.3132,0.80435,0.80525,0.84902,0.58789,1.18348,0.89954,1.3486,0.00091302,0.00091302,0.00091302
20,2484.54,1.15931,1.07856,1.30356,0.86168,0.82761,0.87495,0.60148,1.19444,0.84752,1.34877,0.000902021,0.000902021,0.000902021
21,2607.83,1.14606,1.06998,1.30426,0.85246,0.82378,0.87455,0.61312,1.16939,0.82568,1.33649,0.000891022,0.000891022,0.000891022
22,2731.93,1.1382,1.0661,1.29836,0.87087,0.80164,0.87246,0.59877,1.16889,0.8388,1.34451,0.000880023,0.000880023,0.000880023
23,2855.51,1.12127,1.05069,1.29461,0.84108,0.81536,0.87763,0.60853,1.17261,0.83375,1.34662,0.000869024,0.000869024,0.000869024
24,2979.54,1.13471,1.04752,1.29778,0.85714,0.82056,0.88061,0.61756,1.14989,0.82328,1.32878,0.000858025,0.000858025,0.000858025
25,3104.01,1.12052,1.03639,1.2881,0.85702,0.82862,0.88672,0.62382,1.14717,0.8017,1.33323,0.000847026,0.000847026,0.000847026
26,3228.07,1.11576,1.02897,1.29186,0.83752,0.82654,0.87887,0.6139,1.15853,0.82504,1.34241,0.000836027,0.000836027,0.000836027
27,3351.67,1.09784,0.99863,1.27321,0.84844,0.82371,0.88074,0.61672,1.16922,0.79714,1.3489,0.000825029,0.000825029,0.000825029
28,3475.65,1.10468,1.01733,1.2781,0.85664,0.82207,0.88134,0.62747,1.12785,0.79115,1.31959,0.00081403,0.00081403,0.00081403
29,3599.75,1.08479,1.00927,1.27199,0.85372,0.8303,0.87991,0.61939,1.13306,0.79033,1.32901,0.000803031,0.000803031,0.000803031
30,3724.16,1.09142,0.99515,1.27383,0.86094,0.82434,0.88007,0.62358,1.13208,0.79665,1.31892,0.000792032,0.000792032,0.000792032
31,3847.89,1.09492,0.99678,1.27404,0.86877,0.81895,0.88257,0.63064,1.11762,0.80633,1.3078,0.000781033,0.000781033,0.000781033
32,3971.54,1.0872,0.99521,1.27132,0.85614,0.83461,0.884,0.62776,1.13277,0.79698,1.31753,0.000770034,0.000770034,0.000770034
33,4095.43,1.07552,0.9779,1.26449,0.86502,0.8226,0.88686,0.63151,1.13118,0.77397,1.32824,0.000759035,0.000759035,0.000759035
34,4219.37,1.07663,0.97869,1.26714,0.84021,0.83754,0.8835,0.63068,1.10015,0.79109,1.3048,0.000748036,0.000748036,0.000748036
35,4343.12,1.07045,0.96766,1.25861,0.85503,0.82223,0.87972,0.62375,1.13359,0.79615,1.32873,0.000737037,0.000737037,0.000737037
36,4467.07,1.0648,0.97728,1.25869,0.86387,0.83237,0.88544,0.62878,1.12659,0.78505,1.31892,0.000726038,0.000726038,0.000726038
37,4590.85,1.05595,0.95127,1.25626,0.87014,0.82686,0.88293,0.63491,1.11693,0.77722,1.3163,0.00071504,0.00071504,0.00071504
38,4714.44,1.04942,0.94178,1.24981,0.86968,0.83418,0.89047,0.63853,1.10939,0.75372,1.31801,0.000704041,0.000704041,0.000704041
39,4838.38,1.05429,0.96463,1.25442,0.86498,0.83085,0.88866,0.63001,1.11099,0.78095,1.31726,0.000693042,0.000693042,0.000693042
40,4962.05,1.04793,0.93926,1.24798,0.86353,0.83532,0.8931,0.64369,1.09079,0.75926,1.29851,0.000682043,0.000682043,0.000682043
